review_id,store_name,city,state,rating,review_text,review_date,reviewer
23,McDonald's (Airport),San Jose,CA,1,They forgot my drink and fries. My Big Mac looked nothing like the picture. The place looked like it hadn't been cleaned in days. Took 25 minutes to get a Happy Meal. Save your money and go somewhere else!,2023-02-09,user_39070
24,McDonald's (Highway),San Francisco,CA,3,About what you'd expect. Quick and courteous service. Food was terrible. Cold fries and soggy burger.,2019-04-29,user_4085
25,McDonald's (Airport),Philadelphia,PA,5,"Food was ready almost instantly. Good food at affordable prices. Perfect order, nothing missing. Bathrooms were surprisingly clean.",2019-10-30,user_42112
26,McDonald's (Walmart),Raleigh,NC,1,"SLOWEST SERVICE I'VE EVER EXPERIENCED. NO NAPKINS, NO KETCHUP, WRONG SAUCE. BREAKFAST SANDWICH WAS ICE COLD. THERE WERE FLIES BUZZING AROUND THE DINING AREA. WILL NOT RETURN. SAVE YOUR MONEY AND GO SOMEWHERE ELSE!",2024-02-29,user_65541
27,McDonald's,Tucson,AZ,1,They forgot my drink and fries. Way too expensive for fast food. The meat patty was paper thin. There were flies buzzing around the dining area. Save your money and go somewhere else!,2019-04-27,user_97615
28,McDonald's (Airport),Oklahoma City,OK,2,They acted like I was bothering them. The line didn't move for ages.,2019-05-18,user_86194
29,McDonald's (Airport),Denver,CO,5,"One of the cleanest fast food places I've been to. Everything tasted fresh and well-prepared. Great value for the money. Perfect order, nothing missing. Highly recommended!",2018-09-13,user_37560
30,McDonald's (Walmart),San Diego,CA,1,Prices have gone up so much. Took 25 minutes to get a Happy Meal. The place looked like it hadn't been cleaned in days. They acted like I was bothering them. Will not return.,2019-12-17,user_41847
31,McDonald's (Airport),Kansas City,MO,1,Prices have gone up so much. Took 25 minutes to get a Happy Meal.,2022-08-02,user_11813
32,McDonald's (Walmart),New York,NY,5,"Quick service even during lunch rush. Perfect order, nothing missing. Great customer service! Great value for the money.",2018-01-26,user_36787
33,McDonald's (Walmart),Salt Lake City,UT,1,15 minute wait for a simple order. Missing half the items from a large order. They acted like I was bothering them. Burger was dry and tasteless.,2020-08-12,user_43704
34,McDonald's (Airport),Philadelphia,PA,5,"Great customer service! Bathrooms were surprisingly clean. Perfect order, nothing missing. Breakfast menu is excellent here. Highly recommended! This is my go-to McDonald's!",2021-10-21,user_49345
35,McDonald's (Airport),Houston,TX,5,Food was ready almost instantly. Good food at affordable prices. Very friendly employees at this location. Restaurant was spotless and clean. This is my go-to McDonald's!!!!!,2020-02-14,user_17087
36,McDonald's (Highway),Nashville,TN,2,Drive-thru took forever. Missing half the items from a large order. Food was terrible. Cold fries and soggy burger. Very disappointing.,2019-10-31,user_6793
37,McDonald's (Airport),Tucson,AZ,2,The place looked like it hadn't been cleaned in days. They got my order wrong. Again. Very disappointing.,2021-12-20,user_2658
38,McDonald's,Orlando,FL,3,About what you'd expect. Fries were cold and limp.,2018-02-09,user_5637
39,McDonald's (Airport),Tucson,AZ,5,Order was 100% correct. Drive-thru was super fast. They got my order right and were very polite. Very clean dining area.,2018-12-18,user_69155
40,McDonald's Drive-Thru,St. Louis,MO,5,They got everything right. Got my food in under 3 minutes! The new menu items are fantastic.,2021-03-29,user_41942
41,McDonald's (Highway),Orlando,FL,4,Can't beat the price! Restaurant was spotless and clean. Very friendly employees at this location.,2023-07-04,user_9907
42,McDonald's Drive-Thru,Nashville,TN,5,One of the cleanest fast food places I've been to. Order was 100% correct. In and out in 5 minutes. Can't beat the price! Highly recommended! This is my go-to McDonald's!,2018-12-03,user_18462
43,McDonald's,Chicago,IL,4,"Perfect order, nothing missing. Chicken sandwich was surprisingly good. Tables were wiped down and floors were clean.",2021-03-16,user_42981
44,McDonald's (Highway),Pittsburgh,PA,4,"Great deals on the app. Perfect order, nothing missing. No wait at all, very efficient. Quick and courteous service.",2020-03-04,user_21140
45,McDonald's (Highway),Portland,OR,3,Nothing special but nothing terrible either. Worst customer service ever.,2019-05-08,user_98031
46,McDonald's Drive-Thru,Boise,ID,1,"Tables were sticky and trash everywhere. Shrinkflation is real here. Smaller portions, higher prices. Will not return. Save your money and go somewhere else!",2021-01-01,user_25034
47,McDonald's (Highway),Denver,CO,5,"Everything tasted fresh and well-prepared. In and out in 5 minutes. Perfect order, nothing missing. This is my go-to McDonald's!",2021-07-28,user_54037
48,McDonald's Drive-Thru,Louisville,KY,1,"Waited 30 minutes in the drive-thru line. They forgot my drink and fries. Shrinkflation is real here. Smaller portions, higher prices.",2023-05-15,user_72547
49,McDonald's (Walmart),Las Vegas,NV,4,They got my order right and were very polite. Got my food in under 3 minutes!,2023-11-15,user_41503
50,McDonald's (Airport),Nashville,TN,5,"One of the cleanest fast food places I've been to. Staff was friendly and helpful. Perfect order, nothing missing.",2024-09-12,user_63757
51,McDonald's (Walmart),St. Louis,MO,4,"Best fries in fast food, always crispy. They got everything right. Impressed by how friendly everyone was. Will come back.",2020-03-26,user_92255
52,McDonald's (Airport),Sacramento,CA,1,"My Big Mac looked nothing like the picture.  Shrinkflation is real here.  Smaller portions, higher prices.  They forgot my order and I had to wait another 10 minutes.  I ordered a Big Mac and got a McChicken.  Will not return.",2022-08-26,user_13033
53,McDonald's (Airport),Kansas City,MO,4,Chicken sandwich was surprisingly good. Tables were wiped down and floors were clean. They got my order right and were very polite. Can't beat the price! Will come back.,2024-03-01,user_81023
54,McDonald's,Portland,OR,2,Bathrooms were absolutely disgusting. For these prices I'd rather eat somewhere else. The line didn't move for ages. Fries were cold and limp. Very disappointing.,2022-09-24,user_90025
55,McDonald's (Airport),Philadelphia,PA,5,Order was 100% correct. Restaurant was spotless and clean. Food was ready almost instantly. The new menu items are fantastic. Highly recommended! This is my go-to McDonald's!,2021-11-05,user_31047
56,McDonald's Drive-Thru,St. Louis,MO,3,It's McDonald's. You know what you're getting. The cheese wasn't even melted. Could be better.,2019-07-08,user_59979
57,McDonald's (Airport),Portland,OR,4, Food was ready almost instantly. They got everything right.,2022-02-12,user_60593
58,McDonald's (Highway),San Francisco,CA,2,Breakfast sandwich was ice cold. They acted like I was bothering them. Very disappointing.,2022-11-24,user_94968
59,McDonald's Drive-Thru,Kansas City,MO,3,Average fast food experience. Staff was friendly and helpful. Could be better.,2020-08-19,user_81178
60,McDonald's (Airport),Cincinnati,OH,1,"The restaurant was filthy. Wrong order. Had to go back. Rude staff, will not return. Waited 30 minutes in the drive-thru line.",2024-10-01,user_61018
61,McDonald's (Airport),Cleveland,OH,4,Got my food in under 3 minutes! Coffee is actually really good here.,2019-03-10,user_94471
62,McDonald's (Highway),Cincinnati,OH,5,They got everything right. Very clean dining area.,2024-09-20,user_32538
63,McDonald's,Austin,TX,4,Staff went above and beyond. Coffee is actually really good here. Very clean dining area. Dollar menu is a lifesaver. Will come back.,2024-12-06,user_63855
64,McDonald's (Airport),Fort Worth,TX,4,Dollar menu is a lifesaver. They got my order right and were very polite. Will come back.,2022-05-30,user_51257
65,McDonald's (Highway),Detroit,MI,2,"No napkins, no ketchup, wrong sauce. The restaurant was filthy.",2020-06-15,user_26537
66,McDonald's (Highway),Cleveland,OH,4,The Big Mac was fresh and delicious. Got my food in under 3 minutes! Will come back.,2023-01-26,user_65715
67,McDonald's,Chicago,IL,4,Great deals on the app. One of the cleanest fast food places I've been to.,2023-06-05,user_26410
68,McDonald's,Cincinnati,OH,4,"Coffee is actually really good here. Fastest McDonald's I've been to. Restaurant was spotless and clean. Perfect order, nothing missing.",2020-08-05,user_55088
69,McDonald's (Highway),Nashville,TN,2,"Burger was dry and tasteless. Bathrooms were absolutely disgusting. No napkins, no ketchup, wrong sauce. Nobody seemed to care about the customers.",2021-07-13,user_89199
70,McDonald's,Nashville,TN,5,Impressed by how friendly everyone was. Can't beat the price!,2023-04-02,user_50916
71,McDonald's (Walmart),Tulsa,OK,1,Bathrooms were absolutely disgusting. Staff was rude and unhelpful. Slowest service I've ever experienced. Save your money and go somewhere else!,2023-12-23,user_95572
72,McDonald's (Highway),Austin,TX,1,Floors were dirty and tables hadn't been wiped. Waited 30 minutes in the drive-thru line. Missing items from my order. Save your money and go somewhere else!,2022-05-22,user_56416
73,McDonald's (Airport),Tulsa,OK,2,"Missing items from my order. Shrinkflation is real here. Smaller portions, higher prices. Floors were dirty and tables hadn't been wiped. Nobody seemed to care about the customers.",2020-12-20,user_36182
74,McDonald's (Airport),Sacramento,CA,2,"Rude staff, will not return. The place looked like it hadn't been cleaned in days. Prices have gone up so much. Very disappointing. ",2022-04-15,user_51345
75,McDonald's,Tulsa,OK,1,Food was clearly sitting under the heat lamp for hours. Had to wait at the counter while employees chatted. Will not return. Save your money and go somewhere else!,2020-09-09,user_58147
76,McDonald's Drive-Thru,Denver,CO,5,Great customer service! They got everything right. Everything tasted fresh and well-prepared. Highly recommended! This is my go-to McDonald's!,2021-05-12,user_11545
77,McDonald's (Highway),Raleigh,NC,4,Very clean dining area. Great deals on the app. Will come back.,2019-05-28,user_15721
78,McDonald's,Orlando,FL,2,My Big Mac looked nothing like the picture. Slowest service I've ever experienced. Very disappointing.,2023-11-17,user_77438
79,McDonald's,Fresno,CA,5, Order was 100% correct. Fastest McDonald's I've been to. Can't beat the price! Bathrooms were surprisingly clean. This is my go-to McDonald's!,2022-02-09,user_28113
80,McDonald's (Walmart),San Jose,CA,5,the crew was fast and efficient. quick service even during lunch rush. tables were wiped down and floors were clean.!!!!,2021-03-26,user_67667
81,McDonald's (Highway),Chicago,IL,1,They forgot my drink and fries. Manager was no help when I complained. Breakfast sandwich was ice cold. Prices have gone up so much. Save your money and go somewhere else!,2020-05-22,user_81841
82,McDonald's (Highway),Miami,FL,4,Food was ready almost instantly. Tables were wiped down and floors were clean. Will come back.,2019-12-22,user_56421
83,McDonald's (Walmart),Salt Lake City,UT,5,Everything tasted fresh and well-prepared. Staff was friendly and helpful. Quick service even during lunch rush. Tables were wiped down and floors were clean.,2019-10-14,user_38690
84,McDonald's,San Diego,CA,5,Drive-thru was super fast. Great value for the money. They got everything right. Bathrooms were surprisingly clean. ,2024-01-31,user_39452
85,McDonald's,Austin,TX,1,Worst customer service ever. The line didn't move for ages. The restaurant was filthy. Will not return.,2019-03-17,user_48347
86,McDonald's (Airport),Salt Lake City,UT,5,Got my food in under 3 minutes! Everything tasted fresh and well-prepared. Quick and courteous service. This is my go-to McDonald's!,2018-01-11,user_66616
87,McDonald's Drive-Thru,Phoenix,AZ,1,Waited 30 minutes in the drive-thru line. They forgot my drink and fries. Prices have gone up so much. Will not return.,2020-04-08,user_43282
88,McDonald's (Walmart),Cleveland,OH,1,They forgot my order and I had to wait another 10 minutes. My Big Mac looked nothing like the picture. Will not return. Save your money and go somewhere else!,2022-03-14,user_63226
89,McDonald's,Philadelphia,PA,4,Great value for the money. One of the cleanest fast food places I've been to. Will come back.,2021-11-21,user_56435
90,McDonald's (Airport),San Antonio,TX,1,They acted like I was bothering them. They got my order wrong. Again. Worst burger I've ever had. Way too expensive for fast food.,2019-01-09,user_55251
91,McDonald's,Denver,CO,3,Mediocre but acceptable. Great tasting burgers and crispy fries. Worst customer service ever.,2022-02-22,user_16133
92,McDonald's (Walmart),Sacramento,CA,5,In and out in 5 minutes. The Big Mac was fresh and delicious. Highly recommended! ,2021-11-26,user_91429
93,McDonald's Drive-Thru,San Diego,CA,4, Manager was very accommodating. Food was ready almost instantly. Everything tasted fresh and well-prepared. Dollar menu is a lifesaver.,2021-09-07,user_65786
94,McDonald's (Airport),Jacksonville,FL,4,Can't beat the price! One of the cleanest fast food places I've been to. Service with a smile! Breakfast menu is excellent here. ,2024-09-02,user_7544
95,McDonald's (Airport),Tampa,FL,1,"Tables were sticky and trash everywhere. 15 minute wait for a simple order. Rude staff, will not return. Coffee tasted burnt and old.",2024-01-09,user_94181
96,McDonald's (Airport),Fort Worth,TX,5,Breakfast menu is excellent here. Great value for the money. One of the cleanest fast food places I've been to.,2020-04-06,user_71325
97,McDonald's,Phoenix,AZ,5,Great value for the money. Egg McMuffin was perfect this morning. Drive-thru was super fast. This is my go-to McDonald's!,2020-06-27,user_77148
98,McDonald's Drive-Thru,Minneapolis,MN,1,Garbage overflowing from every trash can. I ordered a Big Mac and got a McChicken. Will not return. Save your money and go somewhere else!,2022-09-07,user_33819
99,McDonald's Drive-Thru,Omaha,NE,3,It's McDonald's. You know what you're getting. They forgot my order and I had to wait another 10 minutes.,2020-04-26,user_6280
100,McDonald's (Walmart),Tucson,AZ,2,"Waited 30 minutes in the drive-thru line. No napkins, no ketchup, wrong sauce.",2021-01-19,user_2264
101,McDonald's (Highway),Tulsa,OK,4,Great customer service! Quick service even during lunch rush.,2023-07-09,user_16938
102,McDonald's,Columbus,OH,1,Food was terrible. Cold fries and soggy burger. They got my order wrong. Again. Save your money and go somewhere else!,2019-02-14,user_18263
103,McDonald's (Highway),Orlando,FL,1,For these prices I'd rather eat somewhere else. Burger was dry and tasteless. Save your money and go somewhere else!,2023-08-14,user_51719
104,McDonald's Drive-Thru,Charlotte,NC,1,I ordered a Big Mac and got a McChicken. The line didn't move for ages. The place looked like it hadn't been cleaned in days. Employee rolled their eyes when I asked a question. Save your money and go somewhere else!,2021-12-16,user_65685
105,McDonald's (Airport),Fort Worth,TX,1,Way too expensive for fast food. Waited 30 minutes in the drive-thru line. Staff was rude and unhelpful.,2024-10-31,user_25617
106,McDonald's,Sacramento,CA,1,Garbage overflowing from every trash can. Not worth the price anymore.,2020-12-24,user_68843
107,McDonald's (Highway),Cleveland,OH,3,Average fast food experience. Drive-thru took forever. Could be better.,2024-08-13,user_15912
108,McDonald's,Sacramento,CA,4,"BATHROOMS WERE SURPRISINGLY CLEAN. MANAGER WAS VERY ACCOMMODATING. NO WAIT AT ALL, VERY EFFICIENT.",2022-01-08,user_83621
109,McDonald's (Highway),Jacksonville,FL,4,Great deals on the app. McFlurry was made perfectly. Quick service even during lunch rush. They got everything right.,2022-05-14,user_19511
110,McDonald's (Walmart),Charlotte,NC,5,Fastest McDonald's I've been to. Order was 100% correct. This is my go-to McDonald's!,2021-09-15,user_52566
111,McDonald's (Highway),Charlotte,NC,4,Can't beat the price! Breakfast menu is excellent here.  Order was 100% correct.,2022-08-03,user_38335
112,McDonald's Drive-Thru,St. Louis,MO,5,Great value for the money. The new menu items are fantastic. Quick and courteous service. Tables were wiped down and floors were clean. Highly recommended!,2024-06-11,user_65260
113,McDonald's,Pittsburgh,PA,5,Order was 100% correct. The crew was fast and efficient. Highly recommended! This is my go-to McDonald's! ,2023-05-12,user_95016
114,McDonald's (Walmart),Raleigh,NC,1,I ordered a Big Mac and got a McChicken. 15 minute wait for a simple order. Floors were dirty and tables hadn't been wiped. Food was clearly sitting under the heat lamp for hours. Save your money and go somewhere else!,2018-01-30,user_35398
115,McDonald's (Walmart),San Francisco,CA,3,It's fine for what it is. Could be better.,2021-01-15,user_33105
116,McDonald's,Pittsburgh,PA,2,For these prices I'd rather eat somewhere else. Food was terrible. Cold fries and soggy burger. Order was completely wrong. Very disappointing.,2018-04-05,user_63383
117,McDonald's (Walmart),Memphis,TN,1,They got my order wrong. Again. Nobody seemed to care about the customers. For these prices I'd rather eat somewhere else. 15 minute wait for a simple order. Save your money and go somewhere else!,2018-09-17,user_46647
118,McDonald's,Tucson,AZ,2,Prices have gone up so much. Floors were dirty and tables hadn't been wiped. Waited 20 minutes for my order.,2021-11-26,user_31911
119,McDonald's (Walmart),Cincinnati,OH,4,One of the cleanest fast food places I've been to. Food was ready almost instantly. Will come back.,2024-12-17,user_19844
120,McDonald's (Airport),Denver,CO,2,The cashier was incredibly rude. My Big Mac looked nothing like the picture.,2023-12-14,user_7507
121,McDonald's Drive-Thru,Detroit,MI,4,Staff went above and beyond. Fastest McDonald's I've been to. Quarter Pounder was juicy and fresh. They got everything right. Will come back.,2019-05-08,user_62071
122,McDonald's,San Jose,CA,4,Tables were wiped down and floors were clean. Breakfast menu is excellent here. Great customer service!,2020-03-05,user_93003
123,McDonald's (Highway),Omaha,NE,1,Stale buns and wilted lettuce. Had to wait at the counter while employees chatted. Floors were dirty and tables hadn't been wiped. Save your money and go somewhere else!,2019-06-09,user_95606
124,McDonald's Drive-Thru,Columbus,OH,4,Can't beat the price! Very clean dining area. Order was 100% correct.,2022-09-15,user_82085
125,McDonald's,San Antonio,TX,1, The restaurant was filthy. Had to wait at the counter while employees chatted.,2020-04-27,user_39671
126,McDonald's (Airport),Cleveland,OH,1,Stale buns and wilted lettuce. Took 25 minutes to get a Happy Meal. Worst customer service ever. Save your money and go somewhere else!,2021-05-22,user_58131
127,McDonald's (Highway),Dallas,TX,4,Staff was friendly and helpful. Got my food in under 3 minutes! Good food at affordable prices. Tables were wiped down and floors were clean. Will come back.,2024-10-30,user_33315
128,McDonald's (Walmart),Dallas,TX,4,Very clean dining area. Drive-thru was super fast. Will come back.,2019-06-17,user_90257
129,McDonald's,Memphis,TN,1,The line didn't move for ages. Garbage overflowing from every trash can.,2024-11-09,user_33264
130,McDonald's (Walmart),Louisville,KY,4,Very clean dining area.  Got my food in under 3 minutes! Great tasting burgers and crispy fries.,2018-02-04,user_26592
131,McDonald's (Highway),Denver,CO,2,"No one greeted me or acknowledged my presence. Floors were dirty and tables hadn't been wiped. Worst burger I've ever had. Shrinkflation is real here. Smaller portions, higher prices.",2020-08-26,user_53737
132,McDonald's (Walmart),San Antonio,TX,1,"not worth the price anymore. no napkins, no ketchup, wrong sauce. they forgot my order and i had to wait another 10 minutes.",2018-03-20,user_15290
133,McDonald's (Airport),Jacksonville,FL,1,Bathrooms were absolutely disgusting. Had to wait at the counter while employees chatted. Save your money and go somewhere else!,2023-10-24,user_56695
134,McDonald's (Walmart),Cleveland,OH,4,Breakfast menu is excellent here. Great value for the money. They got everything right. Staff was friendly and helpful.,2019-12-01,user_14988
135,McDonald's (Airport),Baltimore,MD,4,"Quick service even during lunch rush. Perfect order, nothing missing.",2019-11-18,user_99098
136,McDonald's Drive-Thru,Oklahoma City,OK,3,Average fast food experience. The cashier was incredibly rude. Could be better.,2019-11-23,user_72894
137,McDonald's (Walmart),Miami,FL,5,"Very clean dining area. Manager was very accommodating. They got everything right. No wait at all, very efficient.",2024-12-24,user_73037
138,McDonald's (Airport),Philadelphia,PA,1,"Nobody seemed to care about the customers. No napkins, no ketchup, wrong sauce. Slowest service I've ever experienced. The restaurant was filthy. Will not return. Save your money and go somewhere else!",2021-03-30,user_18008
139,McDonald's (Highway),Orlando,FL,1,Manager was no help when I complained. Order was completely wrong. The restaurant was filthy.,2022-03-31,user_20506
140,McDonald's (Walmart),Orlando,FL,1,"Worst customer service ever. Fries were cold and limp. They got my order wrong. Again. Shrinkflation is real here. Smaller portions, higher prices. Will not return. Save your money and go somewhere else!",2022-07-04,user_81268
141,McDonald's (Airport),Fresno,CA,2,"Way too expensive for fast food. Food was terrible. Cold fries and soggy burger. Waited 30 minutes in the drive-thru line. Rude staff, will not return. Very disappointing.",2024-02-13,user_42711
142,McDonald's,Tulsa,OK,1,WORST BURGER I'VE EVER HAD. THEY GOT MY ORDER WRONG. AGAIN. WAITED 30 MINUTES IN THE DRIVE-THRU LINE.,2023-02-04,user_25390
143,McDonald's (Highway),Detroit,MI,4,Restaurant was spotless and clean. Quick and courteous service. Fastest McDonald's I've been to. They got everything right.,2023-04-25,user_31612
144,McDonald's (Highway),Fort Worth,TX,5, Manager was very accommodating. Good food at affordable prices.,2018-02-19,user_8712
145,McDonald's,Richmond,VA,4,Tables were wiped down and floors were clean. Got my food in under 3 minutes! They got everything right. Dollar menu is a lifesaver.,2024-01-08,user_12214
146,McDonald's (Airport),Detroit,MI,4,Fastest McDonald's I've been to. Order was 100% correct. Very friendly employees at this location.,2021-03-31,user_16701
147,McDonald's (Highway),Seattle,WA,1,15 minute wait for a simple order. No one greeted me or acknowledged my presence. Save your money and go somewhere else!,2022-03-08,user_49001
148,McDonald's (Walmart),Minneapolis,MN,4,Great deals on the app. Service with a smile!,2018-10-12,user_54916
149,McDonald's,Dallas,TX,2,"Rude staff, will not return. They forgot my order and I had to wait another 10 minutes. Breakfast sandwich was ice cold. Way too expensive for fast food. Very disappointing.",2021-06-14,user_53103
150,McDonald's,New York,NY,2,The food was disgusting. Never again. Garbage overflowing from every trash can. They forgot my drink and fries. The line didn't move for ages.,2024-11-19,user_36717
151,McDonald's (Highway),Richmond,VA,4,"Manager was very accommodating. Perfect order, nothing missing. Very clean dining area. Quarter Pounder was juicy and fresh.",2022-11-23,user_68569
152,McDonald's (Airport),Tampa,FL,2,Took 25 minutes to get a Happy Meal. Way too expensive for fast food. Very disappointing.,2020-04-30,user_91792
153,McDonald's (Walmart),Nashville,TN,1,They got my order wrong. Again. Not worth the price anymore. Save your money and go somewhere else!,2023-02-01,user_56712
154,McDonald's (Airport),Jacksonville,FL,4,Got my food in under 3 minutes! Everything tasted fresh and well-prepared.,2019-11-07,user_42962
155,McDonald's,Minneapolis,MN,4,"They got my order right and were very polite. No wait at all, very efficient. Great value for the money. Bathrooms were surprisingly clean.",2022-11-17,user_71223
156,McDonald's Drive-Thru,Tucson,AZ,3,Nothing special but nothing terrible either. Fresh food and great quality.,2019-11-08,user_51938
157,McDonald's Drive-Thru,Richmond,VA,5,Tables were wiped down and floors were clean. Drive-thru was super fast. Highly recommended!,2023-05-08,user_56944
158,McDonald's Drive-Thru,St. Louis,MO,3,About what you'd expect. Quick and courteous service. My Big Mac looked nothing like the picture. Could be better.,2021-07-19,user_3494
159,McDonald's Drive-Thru,Austin,TX,5,Great value for the money. They got everything right. Got my food in under 3 minutes! Highly recommended! This is my go-to McDonald's!,2019-09-13,user_9354
160,McDonald's Drive-Thru,San Antonio,TX,4,Got my food in under 3 minutes! They got everything right. Restaurant was spotless and clean. Quarter Pounder was juicy and fresh. Will come back.,2023-08-03,user_1217
161,McDonald's (Walmart),San Francisco,CA,3,ABOUT WHAT YOU'D EXPECT. GREAT CUSTOMER SERVICE! FOOD WAS TERRIBLE. COLD FRIES AND SOGGY BURGER.,2020-10-13,user_71732
162,McDonald's,Tampa,FL,5,Breakfast menu is excellent here. Staff went above and beyond. Tables were wiped down and floors were clean. They got everything right. Highly recommended! This is my go-to McDonald's!,2024-09-01,user_16717
163,McDonald's (Airport),San Jose,CA,5,"Quick and courteous service. Perfect order, nothing missing. This is my go-to McDonald's!",2019-04-15,user_70189
164,McDonald's (Walmart),San Francisco,CA,1,Employee rolled their eyes when I asked a question. Prices have gone up so much. Slowest service I've ever experienced. Save your money and go somewhere else!,2023-10-18,user_36067
165,McDonald's (Airport),Phoenix,AZ,4,Quick service even during lunch rush. They got everything right.,2019-12-25,user_18520
166,McDonald's,San Diego,CA,1,The place looked like it hadn't been cleaned in days. McNuggets were undercooked and gross. Save your money and go somewhere else!,2018-11-11,user_45221
167,McDonald's,Seattle,WA,3,It's fine for what it is. Breakfast menu is excellent here.,2021-01-14,user_29500
168,McDonald's,Baltimore,MD,1,The line didn't move for ages.  Prices have gone up so much.  Had to wait at the counter while employees chatted.  Order was completely wrong.,2023-09-13,user_50321
169,McDonald's (Airport),Minneapolis,MN,5,Impressed by how friendly everyone was. Very clean dining area. Highly recommended! This is my go-to McDonald's!,2021-12-06,user_64214
170,McDonald's,Minneapolis,MN,4,"McFlurry was made perfectly. Restaurant was spotless and clean. No wait at all, very efficient.",2021-04-12,user_91716
171,McDonald's (Highway),Chicago,IL,5,Great deals on the app. Egg McMuffin was perfect this morning. Drive-thru was super fast. This is my go-to McDonald's!,2024-04-12,user_25408
172,McDonald's (Airport),Salt Lake City,UT,4,Tables were wiped down and floors were clean.  Food was ready almost instantly.  They got everything right.,2024-03-26,user_17124
173,McDonald's (Walmart),Pittsburgh,PA,1,They got my order wrong. Again. Burger was dry and tasteless. Way too expensive for fast food. Will not return.,2023-10-23,user_19091
174,McDonald's (Walmart),St. Louis,MO,4,great deals on the app. tables were wiped down and floors were clean.,2020-08-21,user_28250
175,McDonald's,Orlando,FL,2,There were flies buzzing around the dining area. Missing half the items from a large order. Not worth the price anymore. Worst customer service ever.,2022-11-22,user_61326
176,McDonald's Drive-Thru,Minneapolis,MN,3,Nothing special but nothing terrible either. Worst customer service ever. Could be better.,2018-11-19,user_64245
177,McDonald's (Walmart),San Jose,CA,5,Can't beat the price! Impressed by how friendly everyone was. Breakfast menu is excellent here. Highly recommended! This is my go-to McDonald's!,2021-07-08,user_23403
178,McDonald's (Walmart),Oklahoma City,OK,5,Can't beat the price! Egg McMuffin was perfect this morning. This is my go-to McDonald's!,2018-12-03,user_60839
