sighting_id,datetime,city,state,shape,duration_text,duration_seconds,description,date_posted
43,2007-06-12 20:47,Duluth,MN,Circle,split second,79,I was outside at 2:30 AM when I noticed a bright circle-shaped object in the sky. The object appeared to descend then rose back up. Electronics malfunctioned nearby.,2007-08-21
44,2021-02-09 11:07,Hilo,HI,light,2 secs,32,At about early morning There was a large light object in the northern sky.  It was bright orange.  The object appeared to descend then rose back up.  Clear sky conditions.  Partly cloudy.,2021-02-28
45,2023-10-04 20:01,San Antonio,TX,oval,~15 min,289,On my way home at 10 PM What looked like a oval was seen in the western sky. It was orange. Traveled from horizon to horizon in seconds. The object had lights around its edge.,2023-10-10
46,2018-09-10 18:01,Long Beach,CA,Cigar, 45 minutes ,195,At exactly predawn A cigar-shaped object was hovering above us. It was blue. Drifted slowly westward. I know what I saw.,2018-09-25
47,2020-10-24 22:27,Grand Rapids,MI,circle,  3 seconds,55,At exactly 2:30 AM Witnessed a circle-like object at high altitude. Traveled from horizon to horizon in seconds.,2020-12-11
48,2019-08-18 19:42,San Antonio,TX,flash,  2 seconds,77,Shortly before sunset We saw what appeared to be a flash in the sky. It was green. Hovered in place for several minutes without making any sound. Phone camera would not focus on it. Partly cloudy.,2019-09-23
49,2015-10-25 21:39,Green Bay,WI,light,over 2 hours,6277,On my way home at 3:00 AM Noticed a light moving erratically across the sky. It was bright white. It moved from north to south very slowly.,2015-10-29
50,2002-06-15 16:23,Allentown,PA,Unknown,approximately 5 seconds,97,We were sitting outside around 9:15 PM when Multiple unknown shaped objects appeared. It was amber. Moved at a very high altitude. Electronics malfunctioned nearby.,2002-06-30
51,2008-07-22 15:14,Macon,GA,light,15 mins,701,Around 8:00 PM A bright light appeared suddenly in the sky. It moved from north to south very slowly.,2008-09-06
52,2001-01-01 18:04,Bismarck,ND,sphere,30 minutes,695,At about predawn A bright sphere appeared suddenly in the sky. Remained stationary then vanished.,2001-01-12
53,2011-05-11 21:04,Virginia Beach,VA,fireball,a few minutes,240,At about 2:30 AM There was a large fireball object in the northern sky. It was red. It zigzagged across the sky before disappearing.,2011-07-25
54,2012-08-21 23:20,Bismarck,ND,LIGHT,ongoing,26579,At approximately sunset What looked like a light was seen in the western sky. It was amber. Dropped rapidly then stopped mid-air.,2012-09-02
55,2016-07-18 23:47,Tulsa,OK,Formation,1-2 minutes,156,While driving at 10:30 PM Saw a very bright formation-shaped object. Drifted slowly westward. Other witnesses were present. Not the first sighting in this area.,2016-09-24
56,2014-06-10 17:49,Springfield,IL,light,a couple seconds,37,Shortly before predawn There was a strange light hovering over the treeline. It was orange. Hovered in place for several minutes without making any sound. I have 20/20 vision.,2014-06-21
57,2009-10-27 08:44,Laramie,WY,Teardrop,15 min,67,At exactly 3:00 AM A teardrop-shaped object was hovering above us. Drifted slowly westward. There were no clouds.,2009-11-09
58,2014-09-17 01:21,Omaha,NE,Sphere,all night,30831,While driving at 9:15 PM Observed a sphere shaped craft silently moving. It was blue-green. Made a sharp 90-degree turn which no aircraft could do. I was completely sober.,2014-11-17
59,2021-09-19 23:29,New Haven,CT,Fireball,90min,542,At approximately just after dark A bright fireball appeared suddenly in the sky. Moved slowly at first then accelerated at incredible speed. I know what I saw. Called the local police.,2021-10-08
60,2020-11-27 18:22,Gulfport,MS,Light,20s,38,At exactly 10:30 PM There was a strange light hovering over the treeline. Drifted slowly westward.,2020-12-15
61,2018-08-29 04:16,Orlando,FL,sphere,15 minutes,646,Around 9:15 PM There was a large sphere object in the northern sky.  It was bright orange.  Dropped rapidly then stopped mid-air.,2018-11-03
62,2015-05-01 20:15,Worcester,MA,DISK,several minutes,829,While camping at 8:30 PM I noticed a bright disk-shaped object in the sky. Remained stationary then vanished. Completely silent.,2015-05-15
63,2019-05-02 16:21,Boise,ID,cigar,10-15 minutes,159,On my way home at 11 PM I noticed a bright cigar-shaped object in the sky. It was bright white. The object appeared to descend then rose back up.,2019-07-02
64,2007-04-12 22:03,Rapid City,SD,triangle,a few hours,7354,At about 8:30 PM A single triangle object was visible for several minutes. It was pure white. It split into two separate lights.,2007-06-21
65,2008-05-10 15:38,Birmingham,AL,Other,a few minutes,592,Walking the dog at 9:15 PM We saw what appeared to be a other in the sky. Flew in a circular pattern. Not the first sighting in this area.,2008-07-27
66,2017-03-08 21:23,Akron,OH,light,several minutes,1592,Around early morning A light-shaped object was hovering above us. It was multi-colored. Drifted slowly westward. My whole family witnessed this. I am a skeptic but cannot explain what I saw.  ,2017-05-19
67,2003-09-07 23:18,St. Paul,MN,Light,~45 min,1689,Walking the dog at dusk Multiple light shaped objects appeared. It was orange. Moved erratically with sudden stops and starts. I am a pilot and have never seen anything like this.,2003-11-12
68,2006-10-08 21:01,Akron,OH,circle,3-5 minutes,663,I was outside at 8:30 PM when What looked like a circle was seen in the western sky. It was multi-colored. It zigzagged across the sky before disappearing.,2006-11-22
69,2003-07-19 11:08,Charlotte,NC,cigar,approx. 20 min,738,I looked up at 3:00 AM and There was a strange cigar hovering over the treeline. It was green. It split into two separate lights.,2003-10-03
70,2022-08-24 22:21,Nashua,NH,Light,30+ minutes,1363,Just after early morning Observed a light shaped craft silently moving. It hovered silently for a while then moved away quickly.,2022-11-20
71,2011-09-06 18:30,Trenton,NJ,sphere,  20 seconds,17,Stargazing at sunset What looked like a sphere was seen in the western sky. It was yellowish. Made a sharp 90-degree turn which no aircraft could do. Called the local police.,2011-10-26
72,2020-12-29 10:20,Huntington,WV,light,5-10 seconds,64,At approximately 10:00 PM Observed a light shaped craft silently moving. It was green. The object appeared to descend then rose back up. This was unlike any drone. There was a faint buzzing noise.,2021-02-28
73,2008-07-03 18:56,Rochester,NY,unknown,maybe 45 seconds,47,I looked up at 3:00 AM and We saw what appeared to be a unknown in the sky. It was amber. It split into two separate lights. Called the local police. Checked FlightRadar - no aircraft in the area.,2008-08-19
74,2018-07-17 01:02,San Antonio,TX,Oval,less than a minute,1285,At exactly 11:45 PM Observed a oval shaped craft silently moving. Moved erratically with sudden stops and starts. It was much too large to be a drone. Not the first sighting in this area.,2018-07-20
75,2010-12-19 15:57,Huntsville,AL,Disk,30+ minutes,1507,At approximately early morning A bright disk appeared suddenly in the sky. It was pulsating red. Flew in a circular pattern.,2011-01-13
76,1997-03-23 12:32,Provo,UT,Flash,60 mins,1178,At exactly 8:30 PM What looked like a flash was seen in the western sky. It was red. Dropped rapidly then stopped mid-air. It was much too large to be a drone.,1997-06-20
77,2008-12-09 19:14,Hilo,HI,unknown,30 seconds to 1 minute,744,I looked up at 2:30 AM and I spotted a glowing unknown shape moving across the sky. It was pulsating red. Flew in a circular pattern. This was unlike any drone.,2008-12-20
78,2010-04-16 12:52,Chandler,AZ,other,not sure,61,Walking the dog at around 10 There was a large other object in the northern sky. The object moved in a straight line then suddenly changed direction.,2010-04-17
79,2023-03-21 23:56,Jersey City,NJ,Unknown,approximately 3 seconds,69,On my way home at 9:15 PM Noticed a unknown moving erratically across the sky. Moved at a very high altitude.,2023-04-14
80,2022-11-29 01:19,Boston,MA,rectangle,30+ minutes,304,While camping at around 10 A bright rectangle appeared suddenly in the sky.  It was bright orange.  Moved slowly at first then accelerated at incredible speed.  I am a pilot and have never seen anything like this.,2023-01-12
81,2019-10-06 20:40,Tulsa,OK,FIREBALL,15 min,317,While driving at dusk Noticed a fireball moving erratically across the sky. It was blue. Flew in a circular pattern.,2019-12-19
82,1997-09-02 20:29,Erie,PA,other,a few seconds,48,We were sitting outside around 1:00 AM when There was a large other object in the northern sky. Traveled from horizon to horizon in seconds.,1997-11-02
83,2018-10-25 13:48,Nashville,TN,fireball,maybe 45 seconds,107,I looked up at around 10 and There was a large fireball object in the northern sky. It was red. It moved from north to south very slowly. I know what I saw.,2018-12-30
84,2012-07-04 19:29,Lowell,MA,fireball,a few hours,14019,Just after early morning We saw what appeared to be a fireball in the sky. It was yellowish. It zigzagged across the sky before disappearing. There was a faint buzzing noise. My dog started barking.,2012-07-22
85,2019-08-14 17:57,Toledo,OH,circle,about half an hour,3743,At about late evening Observed a circle shaped craft silently moving. It was blue-green. Made a sharp 90-degree turn which no aircraft could do.,2019-10-08
86,2014-04-12 10:12,Charleston,WV,light,10 secs,9,Around predawn I noticed a bright light-shaped object in the sky. It was pulsating red. The object moved in a straight line then suddenly changed direction.,2014-04-20
87,2004-04-30 21:20,Springfield,MA,light,over an hour,6723,Shortly before 9:15 PM What looked like a light was seen in the western sky. It moved from north to south very slowly. Temperature seemed to drop.,2004-07-07
88,2009-03-13 11:34,Jersey City,NJ,triangle,approximately 60 seconds,54,I looked up at around 10 and A triangle-shaped object was hovering above us. It was blue. The object appeared to descend then rose back up. Other witnesses were present.,2009-04-07
89,2000-08-02 22:12,Santa Fe,NM,fireball,10 seconds,95,Around 8:30 PM Noticed a fireball moving erratically across the sky. It was glowing white. The object appeared to descend then rose back up. I am a skeptic but cannot explain what I saw.,2000-09-17
90,2009-11-15 06:46,Trenton,NJ,formation,maybe 45 seconds,3,Shortly before late evening Noticed a formation moving erratically across the sky. It was blue-green. Moved at a very high altitude. This was NOT a plane or helicopter.,2010-01-25
91,2016-04-27 18:46,Bend,OR,fireball,60 mins,406,Returning from work at late evening Multiple fireball shaped objects appeared. The object moved in a straight line then suddenly changed direction.,2016-07-17
92,2007-01-17 18:03,Columbia,MO,DISK,about half an hour,1994,At approximately around 10 A single disk object was visible for several minutes. It was blue. It hovered silently for a while then moved away quickly. Temperature seemed to drop. I have never reported anything like this before.,2007-03-26
93,2007-10-03 16:25,Grand Rapids,MI,cross,2s,425,I was outside at 9 PM when What looked like a cross was seen in the western sky. It was pulsating red. It hovered silently for a while then moved away quickly. I am a pilot and have never seen anything like this. Other witnesses were present.,2007-10-16
94,2021-04-29 22:56,Springfield,MA,LIGHT,over 60 hours,4738,Returning from work at dusk I noticed a bright light-shaped object in the sky. Hovered in place for several minutes without making any sound. It left a trail behind it. My dog started barking.,2021-07-25
95,2021-10-05 21:44,Huntsville,AL,Unknown,3-8 minutes,1269,Stargazing at predawn My attention was drawn to a unknown-shaped light. It was bright orange. Drifted slowly westward.,2021-12-15
96,2022-09-22 17:49,St. Louis,MO,OTHER,about 30 minutes,1544,I was outside at dusk when Witnessed a other-like object at high altitude. It was bright white. Moved erratically with sudden stops and starts. The object had lights around its edge.,2022-12-03
97,2015-01-12 19:38,Evansville,IN,FLASH,split second,93,Returning from work at late evening Noticed a flash moving erratically across the sky. Made a sharp 90-degree turn which no aircraft could do. I know what I saw. I am a pilot and have never seen anything like this.,2015-01-31
98,2000-06-16 21:23,Buffalo,NY,other,5-10 seconds,39,At approximately 9 PM Witnessed a other-like object at high altitude. Flew in a circular pattern. Electronics malfunctioned nearby.,2000-07-04
99,2008-09-16 15:25,Dover,DE,other,20 hours,6392,While camping at 9 PM Witnessed a other-like object at high altitude. It was glowing white. The object appeared to descend then rose back up. I have never reported anything like this before.,2008-10-13
100,2012-09-27 22:50,Athens,GA,Light,about 30 minutes,181,While driving at predawn A bright light appeared suddenly in the sky. It was silver. Moved at a very high altitude. Made a low humming sound. The object had lights around its edge.,2012-10-11
101,2019-06-21 20:36,Bethesda,MD,disk,instant,110,Shortly before 1:00 AM What looked like a disk was seen in the western sky. Made a sharp 90-degree turn which no aircraft could do. The object had lights around its edge.,2019-08-05
102,2023-05-30 23:07,Laramie,WY,light,around 60 minutes,743,While driving at 10:30 PM A bright light appeared suddenly in the sky. Dropped rapidly then stopped mid-air. My dog started barking.,2023-08-21
103,2002-12-24 13:11,Mesa,AZ,Sphere,a few hours,12293,Walking the dog at 10 PM Observed a sphere shaped craft silently moving. It was glowing white. The object appeared to descend then rose back up.  ,2003-01-02
104,2015-07-12 15:29,El Paso,TX,flash,1-2 minutes,1232,Around sunset Witnessed a flash-like object at high altitude. It moved from north to south very slowly. I have 20/20 vision.,2015-08-05
105,2010-06-20 09:24,Greensboro,NC,disk,~60 min,1032,Shortly before 11:00 PM A disk-shaped object was hovering above us. It was amber. The object moved in a straight line then suddenly changed direction. No sound at all.,2010-09-12
106,2013-06-27 18:10,Los Angeles,CA,Oval,60-65 minutes,374,Stargazing at 11 PM My attention was drawn to a oval-shaped light. Traveled from horizon to horizon in seconds. Not the first sighting in this area. Called the local police.,2013-09-05
107,2020-07-05 18:13,Baltimore,MD,Other,about 45 seconds,45,While camping at 10:00 PM A bright other appeared suddenly in the sky. Moved slowly at first then accelerated at incredible speed.,2020-09-22
108,2016-03-07 21:51,Fresno,CA,Fireball, 15 minutes ,1202,Shortly before around 10 Noticed a fireball moving erratically across the sky. Moved slowly at first then accelerated at incredible speed.,2016-05-30
109,2003-04-23 15:15,Bowling Green,KY,circle,10-20 seconds,58,Around just after dark Saw a very bright circle-shaped object. It zigzagged across the sky before disappearing. Not the first sighting in this area.,2003-06-25
110,2009-07-05 06:29,Salem,OR,cigar,instant,284,At exactly 3:00 AM Witnessed a cigar-like object at high altitude.  It was red.  Traveled from horizon to horizon in seconds.  There was a faint buzzing noise.,2009-07-26
111,2012-07-04 12:44,Fayetteville,AR,Light,30+ minutes,198,AT EXACTLY JUST AFTER DARK A LIGHT-SHAPED OBJECT WAS HOVERING ABOVE US. IT WAS PULSATING RED. MOVED ERRATICALLY WITH SUDDEN STOPS AND STARTS. PARTLY CLOUDY. TEMPERATURE SEEMED TO DROP.,2012-07-21
112,2015-07-01 21:52,Arlington,TX,Circle,a couple minutes,241,At exactly sunset Noticed a circle moving erratically across the sky. It was multi-colored. Hovered in place for several minutes without making any sound. This was NOT a plane or helicopter. My dog started barking.  ,2015-07-29
113,2016-06-22 18:13,San Francisco,CA,light,a few minutes,1650,At about 1:00 AM I spotted a glowing light shape moving across the sky. Made a sharp 90-degree turn which no aircraft could do. I was completely sober. Completely silent.,2016-08-27
114,2005-08-26 22:15,Virginia Beach,VA,Light,20 seconds,17, I was outside at early morning when Observed a light shaped craft silently moving.  It was pulsating red.  It moved from north to south very slowly.  My dog started barking.,2005-09-03
115,2022-05-23 19:26,Greensboro,NC,light,over 3 hours,3094,I looked up at midnight and Saw a very bright light-shaped object. It was yellowish. Flew in a circular pattern. My dog started barking. I have 20/20 vision.,2022-06-04
116,2022-08-02 15:47,Colorado Springs,CO,light,approx. 45 min,1101,I looked up at 2:30 AM and A light-shaped object was hovering above us. It was blue-green. It split into two separate lights. Called the local police. Completely silent.,2022-10-15
117,2016-07-02 19:36,Dallas,TX,triangle,  3 seconds,95,I looked up at 8:00 PM and I noticed a bright triangle-shaped object in the sky. It hovered silently for a while then moved away quickly.,2016-07-07
118,2014-09-14 13:15,Durham,NC,TRIANGLE,several minutes,397,Just after around 10 I noticed a bright triangle-shaped object in the sky. It zigzagged across the sky before disappearing. I was completely sober.,2014-11-01
119,2006-05-20 13:23,Chattanooga,TN,teardrop,about half an hour,1904,Returning from work at 10 PM I noticed a bright teardrop-shaped object in the sky. It was yellowish. It hovered silently for a while then moved away quickly. No sound at all.,2006-06-16
120,2014-07-02 23:09,Charleston,SC,light,split second,96,Around early morning We saw what appeared to be a light in the sky. It was pulsating red. Flew in a circular pattern.,2014-08-09
121,2007-10-23 22:20,Allentown,PA,Light,not sure,118,At about 11 PM A bright light appeared suddenly in the sky. It was orange. Remained stationary then vanished.,2008-01-19
122,2009-08-07 22:20,El Paso,TX,triangle,20 min,1709,At about 8:00 PM Observed a triangle shaped craft silently moving.  Made a sharp 90-degree turn which no aircraft could do.,2009-09-05
123,2003-06-21 23:05,Knoxville,TN,RECTANGLE,~10 sec,104,At about 10:00 PM Noticed a rectangle moving erratically across the sky. Drifted slowly westward.,2003-08-11
124,2013-06-12 12:11,Syracuse,NY,FLASH,3-5 minutes,1355,Shortly before 8:30 PM Observed a flash shaped craft silently moving. Traveled from horizon to horizon in seconds.,2013-08-19
125,2007-07-01 23:50,Columbia,SC,fireball,less than a minute,583,At about 8:00 PM Witnessed a fireball-like object at high altitude. It was bright white. It split into two separate lights.,2007-07-31
126,2023-08-09 19:50,Des Moines,IA,unknown,a couple minutes,390,Just after early morning Witnessed a unknown-like object at high altitude. Remained stationary then vanished. Completely silent. This was unlike any drone.,2023-10-12
127,2014-01-02 13:14,Long Beach,CA,Light,20 mins,1673,While camping at dusk I noticed a bright light-shaped object in the sky. It was glowing white. Hovered in place for several minutes without making any sound.,2014-03-28
128,2011-05-05 23:46,Kailua,HI,Diamond,2 to 3 minutes,487,Walking the dog at early morning There was a strange diamond hovering over the treeline. It was blue. Moved erratically with sudden stops and starts.  ,2011-07-17
129,1999-11-20 13:36,Austin,TX,Light,several seconds,106,On my way home at just after dark A single light object was visible for several minutes. Dropped rapidly then stopped mid-air.,1999-12-04
130,2018-07-04 21:10,Topeka,KS,flash,10-15 minutes,363,While driving at 10:00 PM Saw a very bright flash-shaped object. Moved erratically with sudden stops and starts.,2018-08-22
131,2004-12-03 16:39,Norman,OK,Light,instant,113,At exactly midnight There was a large light object in the northern sky. It was silver. It split into two separate lights. I was completely sober. I have 20/20 vision.,2004-12-23
132,2000-07-03 15:42,Columbia,MO,LIGHT,approx. 15 min,999,While camping at 10:30 PM I spotted a glowing light shape moving across the sky. Traveled from horizon to horizon in seconds. Several neighbors also saw it.,2000-08-20
133,2005-07-04 18:14,Lewiston,ME,light,20s,242,I looked up at 9:15 PM and There was a strange light hovering over the treeline. It was silver. Moved at a very high altitude. Phone camera would not focus on it.,2005-07-09
134,2013-10-22 23:09,Arlington,TX,Circle,around 10 minutes,117,I was outside at 10:00 PM when Multiple circle shaped objects appeared. It was reddish-orange. Hovered in place for several minutes without making any sound. Several neighbors also saw it. I have seen satellites and this was NOT a satellite.,2013-12-12
135,2014-07-30 22:50,Greenville,SC,fireball,about 90 minutes,246,We were sitting outside around 10:30 PM when Saw a very bright fireball-shaped object.  It was silver.  Remained stationary then vanished.  Several neighbors also saw it.,2014-09-04
136,2011-09-13 01:56,Omaha,NE,Light,several minutes,1704,Stargazing at 3:00 AM I spotted a glowing light shape moving across the sky. It was amber. Moved slowly at first then accelerated at incredible speed.,2011-10-18
137,2018-02-15 12:52,Athens,GA,unknown,less than a minute,667,On my way home at around 10 Observed a unknown shaped craft silently moving. It was reddish-orange. It hovered silently for a while then moved away quickly.,2018-04-15
138,2000-04-12 21:32,Atlanta,GA,disk,ongoing,26430, I looked up at sunset and Witnessed a disk-like object at high altitude. It was pure white. It split into two separate lights. Other witnesses were present. I was completely sober.,2000-05-10
139,2020-09-09 20:32,Los Angeles,CA,Fireball,10 seconds,78,Stargazing at 3:00 AM A single fireball object was visible for several minutes. It split into two separate lights. There were pulsating lights.,2020-11-15
140,2020-02-17 23:53,Lewiston,ME,Disk,around 45 seconds,44,Shortly before just after dark Witnessed a disk-like object at high altitude. It split into two separate lights. I have 20/20 vision. There were no clouds.,2020-05-04
141,2011-03-01 20:18,Syracuse,NY,circle,maybe 45 seconds,93,On my way home at 1:00 AM Multiple circle shaped objects appeared. It was bright orange. Traveled from horizon to horizon in seconds. This was unlike any drone. Not the first sighting in this area.,2011-04-08
142,2002-04-26 19:58,Fort Lauderdale,FL,Formation,15-25 minutes,1644,Returning from work at dusk Witnessed a formation-like object at high altitude. It was blue. Dropped rapidly then stopped mid-air.,2002-05-06
143,2013-03-22 17:19,Raleigh,NC,light,maybe 45 seconds,41, While camping at 11:45 PM Saw a very bright light-shaped object. It was yellowish. It moved from north to south very slowly. There was a faint buzzing noise.,2013-04-12
